IDS_CLIENT_GUIDE_INC_000000	您好！我是乒~\n提供一些游戏中的中要情报喔！~
IDS_CLIENT_GUIDE_INC_000001	你好～我是情报兵 ^^\n我会负责提供一些你所需要的情报。\n你要和我学习在飞飞世界里讨生活的方法吗？\n由於学习的内容可以再做确认，所以如果你记不起来了，只要过来找我，就可以使用目录确定选单。
IDS_CLIENT_GUIDE_INC_000002	首先就来了解最基本的角色移动方法吧。移动方法可以使用滑鼠和键盘来移动，先来了解用滑鼠移动的方法吧。请在自己想要移动的地方上点击滑鼠左键。如果路上没有障碍物，角色就能够顺利移动至目的地。\n\n#cffff0000完成条件：角色移动（滑鼠）
IDS_CLIENT_GUIDE_INC_000003	那么现在就来了解用键盘移动的方法吧。用键盘移动的方法和下面一样，\n\n前进 : W\n后退 : S\n左转 : A\n右转 : D\n\n很简单吧？你自己移动试试看吧。\n\n#cffff0000完成条件：角色移动（键盘）
IDS_CLIENT_GUIDE_INC_000004	很好！\n现在都知道移动的方法了吧？\n现在就针对走路和跑步的方法给你做一个说明。基本动作的状态是跑步。\n如果你想用走的，按下X键即可。如果你想将状态再次变更为跑步，就再按下X键。
IDS_CLIENT_GUIDE_INC_000005	接下来是跳跃的方法！非常的简单喔！\n按一下『空白键』，人物就会跳起来了！\n若在移动中，想要跳跃时，一边移动一边按空白键就可以了。\n\n#cffff0000完成条件：使用空白键
IDS_CLIENT_GUIDE_INC_000006	现在就针对镜头回转方法给你说明。\n镜头回转方法也可以使用滑鼠和键盘。先说明有关用滑鼠回转的方法吧。\n在按住滑鼠的状态下，将滑鼠移动到想要的方向后，就能回转镜头。\n\n#cffff0000完成条件：镜头回转
IDS_CLIENT_GUIDE_INC_000007	接着要说明有关用键盘回转的方法。\n用键盘移动的方法和下面一样，\n\n上 : ↑\n下 : ↓\n左边 : ←\n右边 : → \n\n很容易理解吧？
IDS_CLIENT_GUIDE_INC_000008	怎么样？很简单吧？那么现在要说明有关画面放大或缩小的方法。\n透过使用滑鼠中间的滚轮，可以放大或缩小。还有使用Page Up, Page Down键也可以做阶段性的调整。\n另外按下start钮后，出现的设定选单上，会有镜头视角确定的项目，利用此项目可以让视角变得更广。\n\n#cffff0000完成条件：镜头回转
IDS_CLIENT_GUIDE_INC_000009	以后你所要冒险的地区是一个被叫做是玛德利贾大陆的地方。\n想要察看自己的所在位置和其它地区的地图时，请按下热键M。\n想回到游戏画面时，就再按下热键M或ESC键即可。\n\n#cffff0000完成条件：热键'M'
IDS_CLIENT_GUIDE_INC_000010	接下来为你说明导航装置吧！\n在右上方的导航装置上可以看到自己的位置与周边环境。\n按下热键『N』就可以隐藏或开启导航装置。\n\n#cffff0000完成绦件：热键'M'
IDS_CLIENT_GUIDE_INC_000011	要和其它玩家聊天时，你知道要怎么做吗？\n基本方法按下ENTER键，就可以使用聊天视窗。\n首先说明有关一般聊天的方法吧。一般聊天可以传达给在自己周边的玩家，使用的方法只要输入自己想要说的内容即可。
IDS_CLIENT_GUIDE_INC_000012	接着说明有关大喊的聊天。\n大喊的范围比一般聊天更宽广。\n使用的方法只要在自己想说的话前面，加上/s即可。\n\n#cffff0000完成条件：喊叫('/S')聊天
IDS_CLIENT_GUIDE_INC_000013	接下来让我们了解剧团聊天吧。\n剧团聊天只有在自己加入剧团后，才能够使用，所以别忘记了。\n使用的方法在自己想要说的话前面，加上/p即可。
IDS_CLIENT_GUIDE_INC_000014	想要给特对玩家发送讯息吗？那么要使用密语喔。\n使用的方法，在自己想要说的话前面，加上n#cffff0000 /w对方角色名称\n#cff000000即可。
IDS_CLIENT_GUIDE_INC_000015	还可以只将自己的对话传达给自己所属公会成员喔!\n使用方法，在自己想要说的话前面，加上/g即可。
IDS_CLIENT_GUIDE_INC_000016	聊天讯息以外的所有讯息会在系统视窗上另外出现。\n确定方法在聊天视窗上点击SYSTEM钮即可。
IDS_CLIENT_GUIDE_INC_000017	你想要只看自己想看的聊天内容吗？\n那么请按下Filter钮吧。\n在此聊天频道上，选择标记的聊天种类后，能够只看到自己想要的聊天。
IDS_CLIENT_GUIDE_INC_000018	想确定自己的角色状态吗？\n那么就请确定状态视窗吧。视窗里可以确定自己的HP、MP、FP、EXP等的情报。\n热键是T键，别忘记了。\n\n#cffff0000完成条件：热键'T'
